<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.MMM,15,20180501,164500,194.0300000,194.0300000,192.6500000,193.0000000,15457
US1.MMM,15,20180501,170000,193.0200000,193.2900000,193.0000000,193.1800000,21600
US1.MMM,15,20180501,171500,193.1800000,193.1800000,191.7200000,192.2400000,28912
US1.MMM,15,20180501,173000,192.2000000,192.4500000,191.6800000,191.8600000,44638
US1.MMM,15,20180501,174500,191.8200000,192.0600000,191.4400000,191.8400000,24751
US1.MMM,15,20180501,180000,191.7500000,192.1300000,191.6400000,192.0900000,14124
US1.MMM,15,20180501,181500,191.8600000,192.0100000,191.7700000,191.8300000,14174
US1.MMM,15,20180501,183000,191.8400000,192.4700000,191.8250000,192.3400000,9575
US1.MMM,15,20180501,184500,192.3100000,192.8900000,192.3100000,192.7300000,9982
US1.MMM,15,20180501,190000,192.7400000,193.1300000,192.5300000,192.5500000,8598
US1.MMM,15,20180501,191500,192.4400000,192.5900000,192.1800000,192.5600000,15037
US1.MMM,15,20180501,193000,192.5900000,192.8900000,192.5900000,192.7700000,17609
US1.MMM,15,20180501,194500,192.7300000,192.8300000,192.5000000,192.5100000,8651
US1.MMM,15,20180501,200000,192.5100000,192.5100000,192.0600000,192.2900000,6691
US1.MMM,15,20180501,201500,192.2900000,192.2900000,191.9300000,192.2400000,19985
US1.MMM,15,20180501,203000,192.2000000,192.5000000,192.1200000,192.5000000,16700
US1.MMM,15,20180501,204500,192.5000000,193.0200000,192.4550000,192.9300000,6100
US1.MMM,15,20180501,210000,193.0000000,194.0766000,193.0000000,194.0400000,18900
US1.MMM,15,20180501,211500,194.0200000,194.5900000,193.9800000,194.4800000,6200
US1.MMM,15,20180501,213000,194.4900000,195.0200000,194.4900000,194.6800000,13690
US1.MMM,15,20180501,214500,194.6350000,194.7900000,194.3200000,194.7900000,15621
US1.MMM,15,20180501,220000,194.8500000,195.4900000,194.8500000,194.9400000,8906
US1.MMM,15,20180501,221500,195.0100000,195.0800000,194.3700000,194.3700000,14570
US1.MMM,15,20180501,223000,194.2900000,194.3700000,193.8000000,194.0200000,6200
US1.MMM,15,20180501,224500,193.9500000,194.4500000,193.9300000,194.4000000,16891
US1.MMM,15,20180501,230000,194.4300000,195.1400000,194.4300000,195.0300000,22176
US1.MMM,15,20180502,164500,195.1500000,195.7300000,194.9100000,195.3100000,13802
US1.MMM,15,20180502,170000,195.3700000,195.5700000,194.6200000,194.9300000,15380
US1.MMM,15,20180502,171500,194.9200000,195.0800000,194.7400000,194.7800000,6900
US1.MMM,15,20180502,173000,194.7600000,195.0500000,194.5800000,194.9900000,12776
US1.MMM,15,20180502,174500,194.9200000,195.3400000,194.9200000,195.0000000,6049
US1.MMM,15,20180502,180000,195.0100000,195.2700000,194.8500000,195.0200000,12025
US1.MMM,15,20180502,181500,195.0100000,196.0800000,194.9800000,196.0400000,8266
US1.MMM,15,20180502,183000,195.9800000,196.0800000,195.5000000,195.5400000,15163
US1.MMM,15,20180502,184500,195.4800000,195.6200000,195.2300000,195.4300000,8412
US1.MMM,15,20180502,190000,195.4000000,195.7400000,195.1400000,195.7400000,12266
US1.MMM,15,20180502,191500,195.7000000,195.8800000,195.3600000,195.5600000,10583
US1.MMM,15,20180502,193000,195.5350000,195.9200000,195.5300000,195.7400000,15814
US1.MMM,15,20180502,194500,195.6600000,195.8800000,195.5800000,195.7400000,15022
US1.MMM,15,20180502,200000,195.7400000,195.7700000,195.5100000,195.5600000,12194
US1.MMM,15,20180502,201500,195.5900000,195.8700000,195.3300000,195.8100000,10503
US1.MMM,15,20180502,203000,195.7100000,195.7100000,195.4900000,195.4900000,7501
US1.MMM,15,20180502,204500,195.5000000,195.6700000,195.4800000,195.6300000,13839
US1.MMM,15,20180502,210000,195.6600000,195.6600000,195.2900000,195.3200000,18324
US1.MMM,15,20180502,211500,195.2900000,196.3900000,195.2900000,195.9500000,10603
US1.MMM,15,20180502,213000,195.9450000,196.0900000,195.4000000,195.8700000,9005
US1.MMM,15,20180502,214500,195.7300000,196.0292000,195.5000000,195.6700000,30449
US1.MMM,15,20180502,220000,195.6400000,195.7800000,195.4500000,195.5300000,23145
US1.MMM,15,20180502,221500,195.3800000,195.5600000,195.1300000,195.1700000,29701
US1.MMM,15,20180502,223000,195.0200000,195.2800000,194.6300000,194.8700000,35502
US1.MMM,15,20180502,224500,194.8300000,194.9600000,194.3000000,194.6500000,58413
US1.MMM,15,20180502,230000,194.6500000,194.7600000,194.0500000,194.5000000,41182
US1.MMM,15,20180503,164500,195.0400000,195.6900000,193.5500000,193.8400000,14539
US1.MMM,15,20180503,170000,193.9200000,194.6300000,193.8800000,194.1500000,8672
US1.MMM,15,20180503,171500,194.1200000,194.3400000,193.7100000,193.7800000,15493
